Country,Technology,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Pakistan,Wind,0,0,0,0,0,0,0,0,6,6,6,6,56.155,106.055,205.555,308.355,590.655,789.155,1185.855,1235.855,1235.855,1335.155
Philippines,Solar,0,0,0,0,2,2.02,2.02,2.02,2.02,2.02,2.02,2.02,2.02,3.047,27.737,172.55,784.145,908.376,916.961,982.246,1057.881,1369.734
Philippines,Wind,0,0,0,0,0,33,33,33,33,33,33,33,33,33,336.9,426.9,426.9,426.9,426.9,442.9,442.9,442.9
Singapore,Solar,0,0,0,0,0,0,0,0,0.279,1.5,3,4.6,7.8,11.8,25.3,45.7,96.639,115.945,161.328,275.72,335.545,432.618
Singapore,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1
Sri Lanka,Solar,0.325,0.925,1.604,2.282,2.882,3.56,4.239,4.918,5.597,6.275,6.956,9.58,9.663,13.023,19.64,31.154,62.539,130.822,184.968,285.438,370.91,434.21
Sri Lanka,Wind,3,3,3,3,3,3,3,3,3,3,33.85,43.85,76.65,81.45,121.45,131.45,131.45,131.45,128.45,128.45,179,252.5
Tajikistan,Solar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Tajikistan,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Thailand,Solar,0,0,0,0,0,0,30.41,32.25,32.35,37,48.6,78.7,381.7,828.5,1303.5,1424.6,2451.1,2702.26,2967.44,2987.62,2987.62,3048.62
Thailand,Wind,0,0,0,0,0,0,0.34,0.94,1.08,5.1,5.6,7.3,111.7,222.7,224.5,233.9,507.04,627.82,1102.82,1506.82,1506.82,1506.82
Timor Leste,Solar,0,0,0,0,0.004,0.008,0.012,0.016,0.061,0.102,0.143,0.457,0.772,0.789,0.808,0.816,1.124,1.123,1.123,1.123,1.111,1.101
Timor Leste,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Turkmenistan,Solar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Turkmenistan,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Uzbekistan,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.13,1.13,2.33,3.2,3.5,3.5,3.5,103.5
Uzbekistan,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.75,0.75,0.75,0.75
Viet Nam,Solar,0.002,0.108,0.236,0.406,0.747,1.885,3.424,3.424,3.424,3.515,4.518,4.518,4.518,4.518,5.29,5.29,5.29,7.992,104.992,4993.49,16660.49,16660.49
Viet Nam,Wind,0,0,0,0,0,0,0,0,1.3,8.8,31,31,31,53,53,136,160.2,204.7,236.7,374.55,518,4118
C America + Carib,Solar,2.613,3.96,5.017,6.299,7.537,9.185,13.745,18.592,24.827,44.779,76.623,118.999,201.638,282.156,343.056,1040.426,1245.808,1610.931,1996.51,2483.329,2790.641,3275.606
C America + Carib,Wind,53.27,82.07,85.37,99.77,121.57,123.27,125.17,135.07,136.26,255.66,301.79,454.54,728.14,821.64,945.74,1301.75,1544.27,1599.49,1708.964,1944.514,1968.839,2001.039
Anguilla,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0.062,0.062,1.141,1.141,2.141,2.141,1.141,1.511,1.511,1.511
Anguilla,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua Barb,Solar,0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.3,0.4,0.4,3.4,3.51,4.314,8.714,8.714,12.864,12.864
Antigua Barb,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
Aruba,Solar,0,0,0,0,0,0,0,0,0,0,0.1,0.3,1,1.6,4.9,6.1,6.1,6.1,6.1,6.1,6.1,6.1
Aruba,Wind,0,0,0,0,0,0,0,0,0,30,30,30,30,30,30,30,30,30,30,30,30,30
Bahamas,Solar,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.411,0.62,0.625,1.276,1.297,1.45,1.396,1.365,2.233,2.233,2.233
Bahamas,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Barbados,Solar,0,0.1,0.1,0.1,0.1,0.2,0.2,0.6,0.6,0.8,1,1.25,1.5,1.7,6.5,9,20,21,22,35,50,50
Barbados,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0.02,0.02
Belize,Solar,0.01,0.05,0.085,0.14,0.175,0.29,0.295,0.365,0.5,0.585,0.665,0.81,1.875,1.91,2.57,3.87,3.87,3.87,4.153,6.3,6.55,6.55
Belize,Wind,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
BES Islands,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,2.19,4.45,5.59,6.59,6.59,6.59
BES Islands,Wind,0,0,0,0,0,0,0,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1
Br Virgin Is,Solar,0,0,0,0,0,0,0,0,0,0,0.07,0.07,0.07,0.07,0.07,0.195,0.195,0.195,0.195,0.195,0.195,0.195
Br Virgin Is,Wind,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Cayman Is,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.754,8.766,9.917,11.094,12.737,13.701
Cayman Is,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Costa Rica,Solar,0.246,0.591,1.09,1.665,2.048,2.57,3.192,3.756,4.55,5.049,6.198,6.842,9.862,12.714,16.671,22.484,23.568,27.968,27.968,48.446,56.794,73.741
Costa Rica,Wind,42.5,62.3,62.3,68.6,68.6,68.6,68.6,66,66,115.5,115.5,128.3,143.6,143.6,193.1,272.1,365.1,377.82,407.77,410.92,393.52,393.52
Cuba,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0.6,11,22,23.8,37,65.467,128.085,159.3,216.974,245.947
Cuba,Wind,0.45,0.45,0.45,0.45,0.45,2.15,2.15,2.15,7.25,7.25,7.25,11.75,11.75,11.75,11.75,11.75,11.75,11.75,11.75,11.75,11.75,11.75
Curacao,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0.1,3.1,7.7,10.1,11.1,11.1,11.9,11.9,13.2,13.2
Curacao,Wind,3,12,12,12,12,12,12,12,8,8,8,8,30,30,30,30,30,46.5,46.5,46.5,46.5,46.5
Dominica,Solar,0.08,0.08,0.09,0.09,0.1,0.1,0.12,0.18,0.2,0.21,0.22,0.22,0.23,0.23,0.23,0.23,0.63,0.63,0.315,0.315,0.315,0.315
Dominica,Wind,0,0,0,0,0,0,0,0,0.01,0.01,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
Dominican Rep,Solar,0,0,0,0,0,0,0,0,0,0,0,0.009,2.254,7.855,15.049,25.425,72.76,106.031,205.079,315.217,385.622,489.599
Dominican Rep,Wind,0,0,0,0,0,0,0,0,0,0,0,33.45,85.45,85.45,85.45,85.45,134.95,134.95,182.95,369.95,370.3,370.3
El Salvador,Solar,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.044,12.503,12.503,23.576,24.787,120.523,197.696,403.202,478.446,478.446
El Salvador,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36,36
Grenada,Solar,0,0,0,0,0,0,0,0,0.069,0.112,0.179,0.27,0.312,0.515,0.698,1.023,2.186,2.283,2.655,3.274,3.601,3.601
Grenada,Wind,0,0,0,0,0,0,0,0,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
Guadeloupe,Solar,0,0,0,0,0,0.363,1.225,2.482,3.688,10.9,22.4,28.5,60,66.6,66.6,67.1,68,70,70,81,85.419,86.455
Guadeloupe,Wind,7.3,7.3,10.6,18.7,18.7,18.7,20.6,22,22,22,23.4,23.4,23.4,23.4,23.4,27,26.4,26.4,26.4,42.4,41.675,51.575
Guatemala,Solar,0.058,0.113,0.157,0.174,0.202,0.236,0.28,0.308,0.401,0.485,0.602,0.778,1.525,2.56,10.434,93.308,93.308,99.308,100.808,100.808,100.808,101.308
Guatemala,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.9,75.9,75.9,107.4,107.4,107.4,107.4
Haiti,Solar,0,0,0,0,0,0,0,0,0,0.01,0.558,0.586,1.158,1.411,1.597,1.964,2.005,2.535,2.554,2.607,2.607,2.607
Haiti,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0.024,0.024,0.024
Honduras,Solar,1.599,1.804,1.975,2.128,2.376,2.668,2.872,3.228,3.228,3.512,3.728,4.479,5.156,5.156,5.156,393.156,414.156,453.786,513.686,514,514,514
Honduras,Wind,0,0,0,0,0,0,0,0,0,0,0,102,102,152,152,152,175,225,225,241.3,241.3,241.3
Jamaica,Solar,0,0.1,0.1,0.1,0.2,0.2,0.2,0.4,0.6,0.7,1,1.5,1.8,2.106,4.108,6.513,27.513,55.513,55.513,92.513,92.513,92.513
Jamaica,Wind,0,0,0,0,20.7,20.7,20.7,20.7,20.7,20.7,38.9,38.9,38.9,38.9,38.9,38.9,99,99,99,99,99,99
Martinique,Solar,0,0,0,0,0,0,2.5,4,7.3,14.2,26.4,48,60,62,62.5,65.4,66.9,68.4,71,75.846,76.028,78.299
Martinique,Wind,0,0,0,0,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,13,15.1,14
Montserrat,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,1
Montserrat,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Nicaragua,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38,1.38,1.38,1.38,13.96,13.96,16.36,16.36,16.36
Nicaragua,Wind,0,0,0,0,0,0,0,0,0,39.9,63,63,146.6,146.6,186.2,186.2,186.2,186.2,186.2,186.2,186.2,186.2
Panama,Solar,0.235,0.411,0.497,0.636,0.636,0.752,0.832,1.019,1.277,1.532,1.868,2.403,2.994,3.711,6.111,49.311,93.011,146.711,210.443,221.752,242.112,465.132
Panama,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,20,55,252.5,270,270,270,270,270,270
Puerto Rico,Solar,0,0,0,0,0,0,0,0,0,3.8,8.34,18.87,46.61,77.005,81.797,212.05,246.703,301.563,304.502,336.131,384.141,490.668
Puerto Rico,Wind,0,0,0,0,0,0,0,0,0,0,0.5,0.5,101.2,124.6,124.6,124.6,124.6,100.6,100.6,101.8,101.8,125.2
St Barth,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,0.024,0.024,0.024,0.024,0.024
St Barth,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
St Kitts Nevis,Solar,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.36,1.441,1.441,1.941,1.941,1.941,1.941,1.941,1.941
St Kitts Nevis,Wind,0,0,0,0,0,0,0,0,0,0,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2
St Lucia,Solar,0,0,0,0,0,0,0,0,0,0.01,0.02,0.02,0.05,0.06,0.1,0.76,0.835,0.835,3.835,3.835,3.835,3.835
St Lucia,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
St Maarten,Solar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
St Maarten,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
St Martin,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,1.6,2.6,1.8,0.1,0.1,0.5,0.5,0.5
St Martin,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
St Vincent Gren,Solar,0,0,0,0,0,0,0,0,0,0,0,0.01,0.055,0.431,0.431,0.75,1.2,1.27,1.27,1.87,1.87,1.87
St Vincent Gren,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Trinidad Tobago,Solar,0.341,0.667,0.879,1.222,1.656,1.762,1.985,2.11,2.27,2.53,2.831,2.831,2.831,2.831,3.142,3.568,3.568,3.568,3.568,3.568,3.568,3.568
Trinidad Tobago,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Turks Caicos,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.19,0.44,0.94,0.94,0.94
Turks Caicos,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
US Virgin Is,Solar,0,0,0,0,0,0,0,0,0,0,0,0.476,0.61,0.861,4.951,9.154,9.193,4.993,9.993,9.993,9.993,9.993
US Virgin Is,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Eurasia,Solar,0.1,0.3,0.6,1,1.5,2,2.5,3.1,3.8,4.8,6.01,7.723,12.793,20.959,48.4,316.12,936.47,3678.07,5651.41,7358.531,8230.231,9704.381
Eurasia,Wind,22,22,26,28,28,33.64,71.64,158.64,376.64,806.64,1334.64,1743.64,2275.64,2775.34,3645.34,4524.5,5800.525,6565.675,7146.211,7782.981,9867.581,12652.981
Armenia,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.4,17.32,50,95,182.75
Armenia,Wind,0,0,0,0,0,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.6,2.925,2.925,2.925,2.925,2.925,2.925
Azerbaijan,Solar,0,0,0,0,0,0,0,0.1,0.1,0.1,0.3,1,1,1,2.4,4.8,24.9,28.4,34.9,35.4,38.4,43.4
Azerbaijan,Wind,0,0,0,0,0,0,0,0,0,2,2,2,2,2.7,2.7,8,15.7,15.7,66,66,66,67.1
Georgia,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.262,0.656,0.656,0.656
Georgia,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,21,21,21
Russian Fed,Solar,0,0,0,0,0,0,0,0,0,0,0.01,0.023,0.093,1.259,5,61.32,76.32,225.32,535.32,1276.32,1427.82,1661.02
Russian Fed,Wind,3,3,7,9,9,10,10,10,10,10,10,10,10,10,10,10.9,10.9,10.9,51.9,101.9,945.3,1955
Turkey,Solar,0.1,0.3,0.6,1,1.5,2,2.5,3,3.7,4.7,5.7,6.7,11.7,18.7,41,250,834,3421.7,5063.608,5996.155,6668.355,7816.555
Turkey,Wind,19,19,19,19,19,21,59,146,364,792,1320,1729,2261,2760,3630,4503,5751,6516.15,7005.386,7591.156,8832.356,10606.956
Europe,Solar,200.1,300.36,384.994,623.771,1335.364,2315.507,3277.667,5050.852,10519.16,17119.742,30857.875,54720.669,73723.005,84170.375,91092.091,99605.114,106171.497,112301.655,121620.356,142435.99,162835.468,185876.867
Europe,Wind,12730.915,17392.933,23288.111,28152.946,34320.367,40684.29,47918.9,56340.808,64055.294,75807.537,84920.251,94714.225,107195.971,118180.897,130209.454,143010.158,155763.202,170624.368,181904.248,196339.264,207878.164,222051.504
Albania,Solar,0,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.564,0.679,0.758,0.874,1.05,1,1,1,14,16.85,21.95
Albania,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186,0.226,0.244,0.489,1.09,1.989,2.927,3.827
Andorra,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Austria,Solar,5,7,9,23,27,21.018,22.387,24.238,30.12,48.915,88.813,174.07,337.483,625.974,785.246,937.098,1096.016,1268.971,1455.132,1702.093,2042.934,2691.934
Austria,Wind,50,67,109,322,581,825.219,968.269,991.159,991.974,1000.985,1015.828,1105.966,1337.15,1674.538,2110.275,2488.726,2729.996,2886.698,3132.713,3224.117,3225.985,3523.985
Belarus,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,47,80,154,154,160,269
Belarus,Wind,0.25,0.6,1.1,1.1,1.1,1.1,1.1,1.9,1.9,1.9,1.9,2,5,7,9,22,62,84,92,112,112,112
Belgium,Solar,0,0,1,1,1,2,2,20,62,386,1006.6,1978.6,2646.6,2901.6,3015,3131.6,3328.8,3620.6,4000,4636.6,5574.8,6584.6
Belgium,Wind,14,26,31,67,96,167,212,276,324,608,912,1069,1370,1780,1944,2176,2370,2787.5,3267.9,3863.4,4680.9,4779.64
Bosnia Herzg,Solar,0,0,0,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.349,1.339,7.166,8.17,14.12,16,18.15,22.35,34.89,53
Bosnia Herzg,Wind,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,51,87,135,135
Bulgaria,Solar,0,0,0,0,0,0,0,0.03,0.1,2,25,154,1013,1020,1026,1029,1028,1035.57,1032.679,1047.95,1097.357,1186.357
Bulgaria,Wind,0,0,0,0,1,8,27,30,114,333,488,541,677,683,699,699,699,698.39,698.92,703.12,702.8,704.8
Croatia,Solar,0,0,0,0,0,0,0,0,0,0.3,0.3,0.3,4,19,33,47.8,55.8,60,67.7,84.8,108.5,108.5
Croatia,Wind,0,0,0,0,6,6,17,17,17,70,79,130,180,254,339,418,483,576.1,586.3,646.3,801.3,988.3
Cyprus,Solar,0,0,0,0,1,1,1,1,2,4,7,10,17,35,64,76,84,110.046,118.479,151.261,229.134,316
Cyprus,Wind,0,0,0,0,0.225,0.225,0.225,0.225,0.225,0.225,82.225,134.225,147.225,147.225,147.225,157.725,157.725,157.725,157.725,157.725,157.725,157.725
Czechia,Solar,0.1,0.1,0.2,0.3,0.4,0.586,0.841,3.961,39.5,464.6,1727,1913,2022,2063.5,2067.4,2074.9,2067.9,2069.5,2075.072,2086.424,2122.711,2119.211
Czechia,Wind,2,0,6.4,10.6,16.5,22,43.5,113.8,150,193,213,213,258,262,278,281,282,308.205,316.2,339.414,339.424,339.424
Denmark,Solar,1,1,2,2,2,3,3,3,3,5,7,17,402,571,607,782.108,850.953,906.35,998,1080,1304.294,1540.294
Denmark,Wind,2390.015,2497.153,2894.531,3119.916,3123.712,3127.836,3135.696,3124.214,3162.87,3482.087,3801.829,3951.981,4161.941,4818.923,4886.403,5076.966,5245.142,5488.949,6115.046,6102.94,6259.455,7013.565
Estonia,Solar,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.38,1.5,3.34,6.5,10,15,31.9,120.6,207.67,413.7
Estonia,Wind,0,0,1,3,7,31,31,50,77,104,108,180,266,248,275,300,310,311.8,310,316,317,317
Faroe Islands,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261,0.261,0.261
Faroe Islands,Wind,0.15,0.15,0.15,2.13,2.13,4.11,4.11,4.11,4.11,4.11,4.11,4.11,8.61,8.61,20.31,20.31,20.31,20.31,16.35,12.75,19.05,19.05
Finland,Solar,2,3,3,3,4,4,5,5,6,6,7,7,8,9,11,17,39,82,140,222,318,404
Finland,Wind,38,39,43,52,82,82,86,110,143,147,197,199,257,447,627,1005,1565,2044,2041,2284,2586,3257
France,Solar,7,7,8,9,11,13,15,26,80,277,1044,3003.574,4358.754,5277.289,6034.418,7137.517,7702.081,8610.437,9672.296,10816.874,12031.225,14718.225
France,Wind,38,66,138,218,358,690,1412,2223,3403,4582,5912,6758.016,7607.496,8155.961,9201.425,10298.18,11566.564,13499.357,14900.146,16456.854,17484.001,18676.001
Germany,Solar,114,195,260,435,1105,2056,2899,4170,6120,10566,18006,25916,34077,36710,37900,39224,40679,42293,45158,48914,53721,58461
Germany,Wind,6095,8754,12001,14381,16419,18248,20474,22116,22794,25732,26903,28712,30979,33477,38614,44580,49435,55580,58721,60742,62188,63760
Gibraltar,Solar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gibraltar,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Greece,Solar,0,1,1,1,1,1,5,9,12,46,202,612,1536,2579,2596,2604,2604,2605.53,2651.57,2833.794,3287.72,3530
Greece,Wind,226,270,287,371,470,491,749,846,1022,1171,1298,1640,1753,1809,1978,2091,2370,2624,2877.495,3589,4119.25,4457.25
Holy See,Solar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Holy See,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Hungary,Solar,0,0,0,0,0,0,0,0.4,1,1,2,4,12,35,89,172,235,344,728,1400,2131,2131
Hungary,Wind,0,1,1,3,3,17,33,61,134,203,293,331,325,329,329,329,329,329,329,323,321,321
Iceland,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0.92,1.139,2.539,3.527,4.333,5.275,7.001,7.001,7.001
Iceland,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,2.43,2.4,2.4,1.8,1.8
Ireland,Solar,0,0,0,0,0,0,0,0,0,0.617,0.693,0.789,0.94,1.017,1.629,2.352,5.927,16.813,31.571,58.36,92.84,136.285
Ireland,Wind,116.5,122.9,134.8,210.3,336.4,493.3,676.5,740.5,942.3,1251.3,1390.4,1584.6,1704.35,1923.3,2283.25,2451.15,2801.65,3319.15,3673.85,4126.45,4306.7,4332.05
Italy,Solar,19,20,22,26,31,34,45,110,483,1264,3596.72,13135.72,16789.72,18190.07,18600.07,18907.07,19289.07,19688.363,20113.659,20871.345,21656.11,22698.11
Italy,Wind,363,664,780,874,1127,1635,1902,2702,3525,4879,5794,6918,8102,8542,8683,9137,9384,9736.578,10230.246,10679.46,10870.622,11275.622
Kosovo*,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102,1.95,6.602,6.602,10,10,10
Kosovo*,Wind,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,33.75,33.75,33.75,32,137
Latvia,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.69,0.69,1.962,3.302,5.102,8.102
Latvia,Wind,2,2,22,26,26,26,26,26,28,29,30,36,59,65.892,68.915,68.165,69.905,77.105,78.172,77.922,77.922,80.922
Liechtenstein,Solar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Liechtenstein,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Lithuania,Solar,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.3,7,68,69,69,70,77.669,92,133,248,338
Lithuania,Wind,0,0,0,0,1,1,31,47,54,98,133,202,275,279,288,436,509,518,533,534,540,671
Luxembourg,Solar,0,0.16,1.593,14.17,23.561,23.583,23.696,23.934,24.562,26.357,29.451,40.666,74.654,95.021,109.933,116.272,121.896,128.103,130.624,159.736,186.643,208.643
Luxembourg,Wind,14,13.9,13.9,20.5,34.9,34.9,34.9,34.9,42.915,42.93,43.727,44.527,58.327,58.327,58.342,63.794,119.694,119.694,122.894,135.794,152.744,156.744
Malta,Solar,0,0,0,0,0,0.1,0.1,0.1,0.2,0.9,0.8,5.3,15.7,28.5,54.6,74.8,93.6,111.763,131.89,155.161,187.892,195.889
Malta,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.07,0.1,0.1,0.1,0.1,0.1,0.1
Moldova Rep,Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.33,2.061,3,5,4.3,8.48
Moldova Rep,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.778,9.19,33,35,37,50.89
Monaco,Solar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Monaco,Wind,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Montenegro,Solar,0,0,0,0,0,0,0.023,0.177,0.352,0.447,0.584,0.808,0.938,1.109,2.149,2.719,3.119,3.389,4.459,5.339,6.049,6.529
Montenegro,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,72,118,118,118
Netherlands,Solar,13,21,26,46,50,51,53,54,59,69,90,149,287,650,1007,1526,2135,2911,4608,7226,10949.72,14249
