Country,Country Code,1990,2000,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,AFG,12412311,20779957,31161378,32269592,33370804,34413603,35383028,36296111,37171922,38041757,38928341,..
Albania,ALB,3286542,3089027,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837849,..
Algeria,DZA,25758872,31042238,37383899,38140135,38923688,39728020,40551398,41389174,42228415,43053054,43851043,..
American Samoa,ASM,47351,57816,55669,55717,55791,55806,55739,55617,55461,55312,55197,..
Andorra,AND,54508,65390,82427,80770,79213,77993,77295,76997,77008,77146,77265,..
Angola,AGO,11848385,16395477,25107925,26015786,26941773,27884380,28842482,29816769,30809787,31825299,32866268,..
Antigua and Barbuda,ATG,62533,76007,90407,91510,92562,93571,94520,95425,96282,97115,97928,..
Argentina,ARG,32618648,36870796,41733271,42202935,42669500,43131966,43590368,44044811,44494502,44938712,45376763,..
Armenia,ARM,3538164,3069597,2884239,2897593,2912403,2925559,2936147,2944789,2951741,2957728,2963234,..
Aruba,ABW,62152,90866,102565,103165,103776,104339,104865,105361,105846,106310,106766,..
Australia,AUS,17065100,19153000,22733465,23128129,23475686,23815995,24190907,24601860,24982688,25365745,25693267,..
Austria,AUT,7677850,8011566,8429991,8479823,8546356,8642699,8736668,8797566,8840521,8879920,8916864,..
Azerbaijan,AZE,7175200,8048600,9295784,9416801,9535079,9649341,9757812,9854033,9939771,10024283,10093121,..
"Bahamas, The",BHS,256227,298045,363581,367162,370625,374200,377923,381749,385635,389486,393248,..
Bahrain,BHR,495927,664610,1299942,1315029,1336073,1371853,1425793,1494077,1569440,1641164,1701583,..
Bangladesh,BGD,103171957,127657862,151005733,152761413,154517385,156256287,157977151,159685421,161376713,163046173,164689383,..
Barbados,BRB,260933,271511,283698,284294,284825,285327,285798,286229,286640,287021,287371,..
Belarus,BLR,10189348,9979610,9446836,9443211,9448515,9461076,9469379,9458989,9438785,9419758,9379952,..
Belgium,BEL,9967379,10251250,11106932,11159407,11209057,11274196,11331422,11375158,11427054,11488980,11544241,..
Belize,BLZ,187554,247310,338001,345707,353366,360926,368399,375775,383071,390351,397621,..
Benin,BEN,4978489,6865946,9729254,10004594,10286839,10575962,10872072,11175192,11485035,11801151,12123198,..
Bermuda,BMU,59326,61833,64798,65001,65138,65237,64554,63873,63919,63913,63903,..
Bhutan,BTN,530801,591014,701582,710235,719053,727885,736706,745563,754396,763094,771612,..
Bolivia,BOL,6864839,8418270,10377677,10542375,10706517,10869732,11031822,11192853,11353140,11513102,11673029,..
Bosnia and Herzegovina,BIH,4463422,3751176,3604972,3542598,3482106,3429362,3386263,3351534,3323929,3300998,3280815,..
Botswana,BWA,1286756,1643333,2039551,2062551,2088619,2120716,2159925,2205076,2254067,2303703,2351625,..
Brazil,BRA,149003225,174790339,199287292,201035904,202763744,204471759,206163056,207833825,209469320,211049519,212559409,..
British Virgin Islands,VGB,17489,20313,28654,28850,28985,29148,29355,29567,29795,30033,30237,..
Brunei Darussalam,BRN,258714,333166,398997,404414,409778,414914,419791,424481,428960,433296,437483,..
Bulgaria,BGR,8718289,8170172,7305888,7265115,7223938,7177991,7127822,7075947,7025037,6975761,6934015,..
Burkina Faso,BFA,8811033,11607951,16571252,17072791,17586029,18110616,18646350,19193236,19751466,20321383,20903278,..
Burundi,BDI,5438959,6378871,9245992,9540302,9844301,10160034,10488002,10827010,11175379,11530577,11890781,..
Cabo Verde,CPV,337953,428178,505241,511740,518276,524740,531140,537499,543764,549936,555988,..
Cambodia,KHM,8975597,12155241,14780454,15026330,15274506,15521435,15766290,16009413,16249795,16486542,16718971,..
Cameroon,CMR,11780086,15513944,21485267,22077300,22681853,23298376,23926549,24566070,25216261,25876387,26545864,..
Canada,CAN,27691138,30685730,34714222,35082954,35437435,35702908,36109487,36545236,37065084,37601230,38037204,..
Cayman Islands,CYM,25307,42305,58963,59933,60848,61721,62564,63382,64172,64948,65720,..
Central African Republic,CAF,2806740,3640421,4436411,4447945,4464171,4493171,4537683,4596023,4666375,4745179,4829764,..
Chad,TCD,5963250,8355654,12784748,13220433,13663562,14110971,14561658,15016761,15477727,15946882,16425859,..
Channel Islands,CHI,140677,148439,162051,163039,164107,165387,166922,168666,170496,172264,173859,..
Chile,CHL,13274617,15342350,17400359,17571511,17758969,17969356,18209072,18470435,18729166,18952035,19116209,..
China,CHN,1135185000,1262645000,1354190000,1363240000,1371860000,1379860000,1387790000,1396215000,1402760000,1407745000,1410929362,..
Colombia,COL,33102569,39629965,46075721,46495492,46967706,47520667,48175048,48909844,49661056,50339443,50882884,..
Comoros,COM,411598,542358,723865,741511,759390,777435,795597,813890,832322,850891,869595,..
"Congo, Dem. Rep.",COD,34612023,47105830,69020749,71358804,73767445,76244532,78789130,81398765,84068092,86790568,89561404,..
"Congo, Rep.",COG,2356740,3127420,4510197,4622757,4736965,4856093,4980996,5110701,5244363,5380504,5518092,..
Costa Rica,CRI,3119436,3962369,4688003,4742111,4795390,4847805,4899336,4949955,4999443,5047561,5094114,..
Cote d'Ivoire,CIV,11924873,16454660,21547188,22087506,22647672,23226148,23822726,24437475,25069226,25716554,26378275,..
Croatia,HRV,4777368,4468302,4267558,4255689,4238389,4203604,4174349,4124531,4087843,4065253,4047680,..
Cuba,CUB,10596986,11126423,11257112,11282722,11306909,11324777,11335108,11339255,11338146,11333484,11326616,..
Curacao,CUW,145400,133860,152088,153822,155909,157980,159664,160175,159336,157441,154947,..
Cyprus,CYP,766616,943288,1135046,1143866,1152297,1160987,1170189,1179685,1189262,1198574,1207361,..
Czech Republic,CZE,10333355,10255063,10510785,10514272,10525347,10546059,10566332,10594438,10629928,10671870,10697858,..
Denmark,DNK,5140939,5339616,5591572,5614932,5643475,5683483,5728010,5764980,5793636,5814422,5831404,..
Djibouti,DJI,590393,717577,868136,883296,898707,913998,929117,944100,958923,973557,988002,..
Dominica,DMA,70422,69650,70954,71019,71091,71175,71307,71460,71626,71808,71991,..
Dominican Republic,DOM,7133491,8471317,9930916,10048226,10165182,10281675,10397738,10513111,10627147,10738957,10847904,..
Ecuador,ECU,10230931,12681123,15474099,15707473,15951832,16212022,16491116,16785356,17084359,17373657,17643060,..
"Egypt, Arab Rep.",EGY,56134478,68831561,86422240,88404652,90424668,92442549,94447071,96442590,98423602,100388076,102334403,..
El Salvador,SLV,5270074,5887930,6237922,6266076,6295124,6325121,6356137,6388124,6420740,6453550,6486201,..
Equatorial Guinea,GNQ,419188,606180,1031191,1076412,1122273,1168575,1215181,1262008,1308966,1355982,1402985,..
Eritrea,ERI,2258649,2292413,..,..,..,..,..,..,..,..,..,..
Estonia,EST,1569174,1396985,1322696,1317997,1314545,1315407,1315790,1317384,1321977,1326855,1329479,..
Eswatini,SWZ,822423,1005432,1079285,1086843,1095022,1104038,1113994,1124808,1136274,1148133,1160164,..
Ethiopia,ETH,47887864,66224809,92726982,95385793,98094264,100835453,103603461,106399926,109224410,112078727,114963583,..
Faroe Islands,FRO,47276,46738,47843,47901,47965,48055,48173,48326,48497,48677,48865,..
Fiji,FJI,728575,811011,865065,865602,866447,868632,872406,877460,883490,889955,896444,..
Finland,FIN,4986431,5176209,5413971,5438972,5461512,5479531,5495303,5508214,5515525,5521606,5529543,..
France,FRA,58235716,60912500,65659814,65998685,66312067,66548272,66724104,66918020,67101930,67248926,67379908,..
French Polynesia,PYF,199906,240681,268995,270332,271713,273119,274576,276108,277673,279285,280904,..
Gabon,GAB,949493,1228359,1749677,1817070,1883801,1947690,2007882,2064812,2119275,2172578,2225728,..
"Gambia, The",GMB,955595,1317708,1905020,1963708,2024037,2085860,2149134,2213900,2280092,2347696,2416664,..
Georgia,GEO,4802000,4077131,3728874,3717668,3719414,3725276,3727505,3728004,3726549,3720161,3722716,..
Germany,DEU,79433029,82211508,80425823,80645605,80982500,81686611,82348669,82657002,82905782,83092962,83160871,..
Ghana,GHA,14773274,19278850,25996454,26607641,27224480,27849203,28481947,29121464,29767108,30417858,31072945,..
Gibraltar,GIB,29149,31081,33653,33694,33726,33742,33738,33723,33715,33706,33691,..
Greece,GRC,10196792,10805808,11045011,10965211,10892413,10820883,10775971,10754679,10732882,10721582,10700556,..
Greenland,GRL,55600,56200,56810,56483,56295,56114,56186,56171,56023,56225,56367,..
Grenada,GRD,96328,102837,107452,108172,108900,109603,110263,110874,111449,112002,112519,..
Guam,GUM,130480,155323,159990,160415,161007,161851,162948,164281,165770,167295,168783,..
Guatemala,GTM,9050115,11589761,14781942,15043981,15306316,15567419,15827690,16087418,16346950,16604026,16858333,..
Guinea,GIN,6352282,8240735,10652032,10892821,11150970,11432096,11738434,12067516,12414292,12771246,13132792,..
Guinea-Bissau,GNB,975265,1201305,1604981,1648259,1692433,1737207,1782434,1828146,1874304,1920917,1967998,..
Guyana,GUY,743306,746718,755388,759281,763371,767433,771363,775218,779007,782775,786559,..
Haiti,HTI,7037915,8463802,10250922,10400672,10549007,10695540,10839976,10982367,11123183,11263079,11402533,..
Honduras,HND,4955302,6574510,8640692,8798524,8955579,9112904,9270794,9429016,9587523,9746115,9904608,..
"Hong Kong SAR, China",HKG,5704500,6665000,7150100,7178900,7229500,7291300,7336600,7391700,7451000,7507400,7481800,..
Hungary,HUN,10373988,10210971,9920362,9893082,9866468,9843028,9814023,9787966,9775564,9771141,9750149,..
Iceland,ISL,254826,281205,320716,323764,327386,330815,335439,343400,352721,360563,366463,..
India,IND,873277799,1056575548,1265780243,1280842119,1295600768,1310152392,1324517250,1338676779,1352642283,1366417756,1380004385,..
Indonesia,IDN,181413398,211513822,248451714,251805314,255128076,258383257,261556386,264650969,267670549,270625567,273523621,..
"Iran, Islamic Rep.",IRN,56366212,65623397,75539881,76481963,77465769,78492208,79563991,80673888,81800204,82913893,83992953,..
Iraq,IRQ,17419113,23497589,31890012,33157061,34411949,35572269,36610632,37552789,38433604,39309789,40222503,..
Ireland,IRL,3513974,3805174,4599533,4623816,4657740,4701957,4755335,4807388,4867316,4934340,4985674,..
Isle of Man,IMN,70292,76942,84534,83985,83488,83232,83296,83610,84073,84589,85032,..
Israel,ISR,4660000,6289000,7910500,8059500,8215700,8380100,8546000,8713300,8882800,9054000,9215100,..
Italy,ITA,56719240,56942108,59539717,60233948,60789140,60730582,60627498,60536709,60421760,59729081,59449527,..
Jamaica,JAM,2419901,2654698,2842128,2858710,2875137,2891024,2906242,2920848,2934853,2948277,2961161,..
Japan,JPN,123478000,126843000,127629000,127445000,127276000,127141000,126994511,126785797,126529100,126264931,125836021,..
Jordan,JOR,3565888,5122495,8089963,8518992,8918822,9266573,9554286,9785840,9965322,10101697,10203140,..
Kazakhstan,KAZ,16348000,14883626,16792090,17035551,17288285,17542806,17794055,18037776,18276452,18513673,18754440,..
Kenya,KEN,23724574,31964557,44343469,45519986,46700063,47878339,49051531,50221146,51392570,52573967,53771300,..
Kiribati,KIR,72394,84405,106359,107887,109387,110927,112529,114153,115842,117608,119446,..
"Korea, Dem. People's Rep.",PRK,20293057,22929078,24800638,24929500,25057793,25183832,25307665,25429816,25549606,25666158,25778815,..
"Korea, Rep.",KOR,42869283,47008111,50199853,50428893,50746659,51014947,51217803,51361911,51585058,51764822,51836239,..
Kosovo,XKX,1862000,1700000,1807106,1818117,1812771,1788196,1777557,1791003,1797085,1788878,1790133,..
Kuwait,KWT,2095350,2045123,3348852,3526382,3690939,3835588,3956862,4056102,4137314,4207077,4270563,..
Kyrgyz Republic,KGZ,4391200,4898400,5607200,5719600,5835500,5956900,6079500,6198200,6322800,6456200,6579900,..
Lao PDR,LAO,4258471,5323701,6444527,6541302,6639763,6741160,6845848,6953031,7061498,7169456,7275556,..
Latvia,LVA,2663151,2367550,2034319,2012647,1993782,1977527,1959537,1942248,1927174,1913822,1900449,..
Lebanon,LBN,2803032,3842774,5537620,5913016,6261046,6532681,6714281,6819373,6859408,6855709,6825442,..
Lesotho,LSO,1703757,2032805,2014988,2028528,2043448,2059011,2075041,2091532,2108327,2125267,2142252,..
Liberia,LBR,2075917,2848447,4135662,4248337,4359508,4472229,4586788,4702224,4818976,4937374,5057677,..
Libya,LBY,4436663,5357893,6285751,6320350,6362039,6418315,6492160,6580723,6678565,6777453,6871287,..
Liechtenstein,LIE,28790,33184,36615,36940,37219,37465,37655,37805,37918,38020,38137,..
Lithuania,LTU,3697838,3499536,2987773,2957689,2932367,2904910,2868231,2828403,2801543,2794137,2794885,..
Luxembourg,LUX,381850,436300,530946,543360,556319,569604,582014,596336,607950,620001,630419,..
"Macao SAR, China",MAC,343816,427772,564037,577368,590210,602093,612824,622578,631633,640446,649342,..
Madagascar,MDG,11598647,15766806,22346641,22961259,23589897,24234080,24894370,25570511,26262313,26969306,27691019,..
Malawi,MWI,9404499,11148751,15396010,15839287,16289550,16745305,17205253,17670193,18143215,18628749,19129955,..
Malaysia,MYS,18029824,23194252,29068189,29468923,29866606,30270965,30684652,31104655,31528033,31949789,32365998,..
Maldives,MDV,223159,279396,397231,415592,435018,454914,475505,496398,515704,530957,540542,..
Mali,MLI,8449915,10946448,15979492,16449854,16934213,17438772,17965448,18512429,19077755,19658023,20250834,..
Malta,MLT,354170,390087,420028,425967,434558,445053,455356,467999,484630,504062,515332,..
Marshall Islands,MHL,47265,50754,56712,56933,57183,57444,57723,58053,58412,58791,59194,..
Mauritania,MRT,2034347,2630217,3706555,3817497,3930894,4046304,4163532,4282582,4403312,4525698,4649660,..
Mauritius,MUS,1058775,1186873,1255882,1258653,1260934,1262605,1263473,1264613,1265303,1265711,1265740,..
Mexico,MEX,83943135,98899845,117274156,118827158,120355137,121858251,123333379,124777326,126190782,127575529,128932753,..
"Micronesia, Fed. Sts.",FSM,96304,107405,104506,105922,107444,108886,110215,111461,112640,113811,115021,..
Moldova,MDA,2969097,2923783,2859458,2858692,2856950,2834530,2802170,2755158,2708214,2664974,2620495,..
Monaco,MCO,29433,32148,36459,36899,37320,37723,38070,38392,38682,38967,39244,..
Mongolia,MNG,2184139,2397417,2824698,2881783,2940111,2998433,3056358,3113788,3170214,3225166,3278292,..
Montenegro,MNE,606372,604950,620601,621207,621810,622159,622303,622373,622227,622028,621306,..
Morocco,MAR,24807461,28793672,33241898,33715705,34192358,34663608,35126274,35581257,36029089,36471766,36910558,..
Mozambique,MOZ,12987292,17711925,24862673,25560752,26286192,27042001,27829930,28649007,29496009,30366043,31255435,..
Myanmar,MMR,41335188,46719698,51413703,51852464,52280816,52680724,53045199,53382521,53708318,54045422,54409794,..
Namibia,NAM,1432899,1794583,2194777,2233506,2273426,2314901,2358044,2402623,2448300,2494524,2540916,..
Nauru,NRU,9506,10335,10136,10208,10289,10374,10474,10577,10678,10764,10834,..
Nepal,NPL,18905480,23941099,26989160,26916795,26905982,27015033,27263430,27632682,28095712,28608715,29136808,..
Netherlands,NLD,14951510,15925513,16754962,16804432,16865008,16939923,17030314,17131296,17231624,17344874,17441500,..
New Caledonia,NCL,170899,213230,259000,263650,268050,268700,269350,270000,270650,271300,271960,..
New Zealand,NZL,3329800,3857700,4408100,4442100,4516500,4609400,4714100,4813600,4900600,4979300,5084300,..
